HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
907,1137,766,11.0,104970.0,11,15,15,15,31,96919,104970
908,270,279,2.0,3078.0,2,3,19,28,211,2297,3078
909,141,419,78.0,591.0,78,78,109,126,157,423,591
910,857,1440,78.0,9364.0,78,84,136,698,1208,3585,9364
911,327,578,80.0,2279.0,80,87,120,274,342,1441,2279
912,4984,23712,1223.0,220003.0,1299,1538,2360,3249,4867,38655,220003
913,204,288,17.0,1293.0,17,17,27,150,192,1148,1293
914,10,368,2.0,881.0,2,2,3,4,6,260,260
915,91,262,12.0,313.0,12,14,58,82,114,295,313
916,44,1439,0.0,4067.0,0,0,0,16,19,830,4067
917,144,12674,91.0,4434.0,93,109,124,132,142,452,2289
918,21651,82,591.0,87956.0,591,591,7156,17400,25062,80340,80340
919,211,1440,0.0,11497.0,0,0,0,0,0,3010,11497
920,38,5720,0.0,4545.0,0,13,20,26,36,169,4463
921,147,480,46.0,7658.0,46,62,109,124,140,296,7658
922,5646,287,1095.0,17310.0,1095,1251,3257,5689,7812,13121,17310
923,1543,12,260.0,2938.0,260,260,750,1763,1848,2938,2938
924,180,61,97.0,3423.0,118,118,119,167,234,234,234
925,823,693,15.0,103936.0,15,15,31,33,36,1632,103936
926,1302,14,312.0,7616.0,312,312,419,439,1307,7616,7616
927,269,4300,0.0,9776.0,0,0,0,15,516,1536,9776
928,757,288,83.0,4505.0,83,94,164,654,1182,3488,4505
929,3735,289,3144.0,6473.0,3144,3159,3446,3653,3915,5241,6473
930,286,288,13.0,2997.0,13,13,15,27,93,2636,2997
931,58,1683,0.0,609.0,0,0,15,35,78,299,609
932,138,1440,93.0,1406.0,93,109,125,131,140,209,1406
933,716,5977,48.0,33023.0,187,256,415,461,506,3351,28477
934,1719,2098,1336.0,7678.0,1344,1453,1503,1673,1867,2596,5515
935,453,288,343.0,1140.0,343,343,393,421,484,870,1140
936,55,98,0.0,321.0,0,0,25,31,62,321,321
937,2,8641,0.0,1909.0,0,0,0,0,3,45,641
938,125,1,125.0,125.0,125,125,125,125,125,125,125
939,623,308,559.0,1857.0,559,560,569,574,600,1162,1857
940,500,12,31.0,4784.0,49,49,49,49,1357,1357,1357
941,3,1440,0.0,1703.0,0,0,0,0,0,18,1703
942,2959,355,1691.0,33270.0,1691,1860,2106,2331,2831,18440,33270
943,66,6,0.0,218.0,58,58,58,58,84,84,84
944,0,720,0.0,0.0,0,0,0,0,0,0,0
945,571,6325,62.0,36431.0,130,183,282,313,366,3134,36431
946,901,17280,587.0,10279.0,651,750,832,870,922,1483,2962
947,3472,46,383.0,45266.0,383,383,416,490,2016,45266,45266
948,874,565,15.0,7171.0,15,20,76,176,1765,4173,4467
949,787,720,14.0,10595.0,14,17,37,681,1048,5075,10595
950,759,6621,42.0,45657.0,93,130,369,432,745,4973,26902
951,60344,818,4531.0,265120.0,14851,17166,30450,46341,75662,229870,265120
952,167,17331,34.0,26246.0,72,88,137,160,183,268,13217
953,943,5777,48.0,29589.0,167,291,487,577,1168,4284,6418
954,5259,24,328.0,28126.0,330,330,438,537,773,27819,27819
955,0,1440,0.0,31.0,0,0,0,0,0,19,31
956,19615,57,3472.0,42645.0,3489,3489,13073,15490,33500,39865,39865
957,794,288,261.0,2165.0,261,265,710,810,890,1637,2165
958,280,56,51.0,2448.0,66,66,84,138,328,1402,1402
959,33242,288,27614.0,38919.0,27614,28047,31335,33251,35210,38625,38919
960,5182,2,4175.0,6190.0,4175,4175,4175,4175,6190,6190,6190
961,33318,288,27053.0,39274.0,27053,27527,31268,33196,35270,38919,39274
962,255,15,13.0,1143.0,13,13,15,20,404,1143,1143
963,0,1441,0.0,20.0,0,0,0,0,0,19,20
964,0,280,0.0,1.0,0,0,0,0,0,0,1
965,449,75,16.0,3218.0,16,16,52,109,375,3218,3218
966,20049,752,8.0,270462.0,12,32,2484,10103,17997,177801,270462
967,34,564,7.0,669.0,8,8,13,22,38,173,253
968,121,288,1.0,1906.0,1,1,2,3,10,1339,1906
969,2087,1440,1004.0,23347.0,1004,1251,1714,1904,2148,5710,23347
970,4969,6,1577.0,8822.0,3206,3206,5089,5089,5505,5505,5505
971,14711,1005,7545.0,143750.0,11854,11994,12966,13474,14687,25729,72743
972,5541,287,1124.0,15375.0,1124,1309,3307,5400,7561,10668,15375
973,471,360,78.0,7509.0,78,95,158,184,261,4610,7509
974,158,8,36.0,588.0,36,36,40,95,162,588,588
975,15,2510,4.0,1054.0,4,5,8,9,12,98,1054
976,21,831,6.0,234.0,6,15,15,15,21,93,234
977,452,360,78.0,2364.0,78,93,125,156,707,2057,2364
978,951,1440,79.0,11642.0,79,85,140,828,1441,3659,11642
979,0,288,0.0,11.0,0,0,0,0,0,0,11
980,426,322,107.0,10602.0,109,119,187,254,404,3605,10602
981,903,988,0.0,397659.0,0,9,19,20,29,48614,397659
982,13,12520,0.0,1343.0,0,0,7,11,15,65,300
983,146,864,15.0,4489.0,29,31,56,79,124,921,1281
984,22,25698,6.0,1730.0,8,12,15,18,22,106,312
985,693,3293,38.0,47981.0,46,54,60,65,73,26843,47981
986,1,360,0.0,203.0,0,0,0,0,0,31,203
987,343,265,60.0,2119.0,60,71,103,123,257,2102,2119
988,30962,366,312.0,40528.0,15210,30015,30077,30154,30570,35698,40528
989,215,288,109.0,499.0,109,124,187,203,234,441,499
990,150,720,13.0,4310.0,13,15,18,20,52,3125,4310
991,110,1440,6.0,1505.0,6,6,7,8,10,984,1505
992,647,1440,81.0,3989.0,81,105,162,257,952,3020,3989
993,28,287,0.0,6800.0,0,0,0,0,0,31,6800
994,56651,720,29586.0,153433.0,29586,30493,36111,44059,67706,131549,153433
995,15,288,1.0,30.0,1,1,8,12,22,29,30
996,103,678,0.0,999.0,0,0,20,46,140,640,999
997,1125,990,187.0,201716.0,187,203,312,315,343,515,201716
998,502,383,0.0,5031.0,0,0,13,19,234,4436,5031
999,84,288,1.0,801.0,1,1,1,2,8,781,801
